Date,Class,Open,High,Low,Close,Volume,volume_adi,volume_obv,volume_cmf,volume_fi,volume_em,volume_vpt,volume_nvi,volatility_bbh,volatility_bbl,volatility_bbm,volatility_kcc,volatility_kch,volatility_kcl,volatility_dch,volatility_dcl,trend_macd,trend_macd_signal,trend_macd_diff,trend_ema_fast,trend_ema_slow,trend_vortex_ind_pos,trend_vortex_ind_neg,trend_vortex_diff,trend_trix,trend_mass_index,trend_cci,trend_dpo,trend_kst,trend_kst_sig,trend_kst_diff,trend_ichimoku_a,trend_ichimoku_b,trend_visual_ichimoku_a,trend_visual_ichimoku_b,trend_aroon_up,trend_aroon_down,trend_aroon_ind,momentum_rsi,momentum_mfi,momentum_tsi,momentum_uo,momentum_stoch,momentum_stoch_signal,momentum_wr,momentum_ao,others_dr,others_dlr,others_cr,Vol_Max,Clo_Max,Ope_Max,Hig_Max,Low_Max,Vol_Min,Clo_Min,Ope_Min,Hig_Min,Low_Min,Support,Resistance
2000-01-04 00:00:00,1,-0.031829342,-0.028246206,-0.029431103,-0.039106145,-0.009125093,-10022165.81,-8089800,-0.616593094,0,-2.30171E-06,-594973.8374,960.8938547,150.6370896,134.5504104,142.59375,143.5026,147.90105,139.10415,145.4375,139.75,-0.127604167,-0.070891204,-0.056712963,142.3567708,142.484375,1,1,0,-0.593254707,2.002638185,-66.66666667,7.982271182,-53.0115693,-43.56866472,-9.44290458,143.9453,143.9453,149.9187095,148.9130223,4,8,-4,0,0,-100,13.37742474,1.270704114,18.49249491,-98.72929589,0,-3.910614525,-3.989132903,-3.910614525,0.990874907,0.960893855,0.968170658,0.971753794,0.970568897,0.990874907,0.960893855,0.968170658,0.971753794,0.970568897,0.942664418,1.00078344
2000-01-05 00:00:00,0,-0.025038441,-0.017570152,-0.017119663,0.001788909,0.505340058,-4222989.917,4088100,-0.230572843,-21823950,-1.58344E-06,-294575.7418,960.8938547,148.1570519,135.3012815,141.7291667,142.1996556,146.5590556,137.8402556,145.4375,139.75,-0.154840551,-0.105296674,-0.049543877,141.4369226,141.5917632,1,1,0,-0.428485505,2.997578617,-71.30608745,8.846854515,-58.75340872,-48.63024605,-10.12316266,142.75,142.75,149.9187095,148.9130223,4,8,-4,4.827031376,42.15499136,-98.67647527,26.35342816,25,20.66166328,-75,0,0.178890877,0.178731057,-3.738719381,1,0.962612806,0.943929174,0.954679933,0.953953084,1,0.962612806,0.943929174,0.954679933,0.953953084,0.944350759,1.02003643
2000-01-06 00:00:00,0,-0.00223314,-0.000221152,0.003642987,-0.016071429,-0.488647468,-2760681.249,-2139100,-0.36881541,3725200,-1.00858E-06,-78294.84794,945.4509178,147.3206415,134.1481085,140.734375,141.3997417,145.6067917,137.1926917,145.4375,137.75,-0.244668837,-0.152509466,-0.092159371,140.2731052,140.5177741,1,1,0,-0.376535201,3.962796708,-71.83094463,9.841646182,-65.35998298,-52.81268029,-12.5473027,142.75,142.75,149.9187095,148.9130223,4,16,-12,3.215301538,34.70564299,-98.13052761,21.53954093,4.545454545,10.27205289,-95.45454545,0,-1.607142857,-1.620197458,-5.285775677,0.511352532,0.947142243,0.941821248,0.954468803,0.957428323,0.511352532,0.947142243,0.941821248,0.954468803,0.957428323,0.929173693,1.003642987
2000-01-07 00:00:00,0,0.004923903,0.030035336,0.016787659,0.058076225,0.295365493,1839300,5927400,-0.110386654,-23640550,-1.78054E-07,368391.8693,945.4509178,148.994178,134.480822,141.7375,141.8906267,146.3937667,137.3874867,145.75,137.75,0.030009123,-0.098214312,0.128223435,141.761158,141.7311489,1,1,0,-0.243184366,5.012169098,55.21380961,8.838521182,-58.69806569,-53.98975737,-4.70830832,142.75,142.75,149.9187095,148.9130223,20,16,4,59.15968995,47.2113862,-79.44690544,43.54097128,77.27272727,35.60606061,-22.72727273,0,5.807622505,5.64523772,0.21486893,0.662388425,1,0.946458685,0.983136594,0.973501303,0.662388425,1,0.946458685,0.983136594,0.973501303,0.983136594,1.061930783
2000-01-10 00:00:00,1,0.042316258,0.007933448,0.035475591,0.003430532,-0.288204302,9788703.776,11669100,-0.061776437,-4126750,5.75767E-08,488168.9534,948.6943172,149.9530011,135.0261656,142.4895833,142.5859444,146.6510611,138.5208278,146.25,137.75,0.215944048,-0.01305993,0.229003978,142.8521827,142.6362387,1,1,0,-0.134518199,5.92231745,86.77335397,8.086437849,-53.70335718,-53.942024,0.238666819,142.75,142.75,149.9187095,148.9130223,24,16,8,60.79398496,53.63001883,-68.19000226,44.86416514,81.81818182,54.54545455,-18.18181818,-0.685675,0.343053173,0.342466088,0.558659218,0.471485231,1,0.986509275,0.990936256,1,0.471485231,1,0.986509275,0.990936256,1,0.986509275,1.06557377
2000-01-11 00:00:00,0,-0.002991453,-0.005530736,-0.01055841,-0.011965812,0.306877754,4377.783248,4165400,-0.084185754,703500,-1.95344E-08,-70090.7792,948.6943172,149.7573604,135.7962111,142.7767857,142.8876571,146.7425857,139.0327286,146.25,137.75,0.252188417,0.05406735,0.198121066,143.2198874,142.967699,1,1,0,-0.06761221,6.793184403,47.36372037,7.799235468,-51.79599917,-53.63544903,1.839449858,142.75,142.75,149.9187095,148.9130223,24,16,8,52.33615099,46.33582026,-61.38058005,44.15908285,65.90909091,75,-34.09090909,-0.405572857,-1.196581197,-1.203797856,-0.64460679,0.61617356,0.988034188,0.983558179,0.985455649,0.98944159,0.61617356,0.988034188,0.983558179,0.985455649,0.98944159,0.97470489,1.052823315
2000-01-12 00:00:00,0,-0.008357994,-0.010267376,-0.004355401,-0.009948097,-0.079427482,-7118435.29,-2742300,-0.16082652,-3716625,-5.45117E-08,-158506.3321,939.2566142,149.2784134,136.3465866,142.8125,142.9655042,146.5534167,139.3775917,146.25,137.75,0.2040693,0.09011564,0.11395366,143.1870431,142.9829738,1,1,0,-0.031696289,7.60234011,15.87838827,7.763521182,-51.55881475,-53.37586974,1.81705499,142.75,142.75,149.9187095,148.9130223,24,16,8,46.23902805,41.21746881,-57.0139767,45.13033442,52.84090909,66.85606061,-47.15909091,0.36426375,-0.994809689,-0.999790984,-1.633003868,0.567232446,0.978205128,0.975337605,0.975337605,0.985132175,0.567232446,0.978205128,0.975337605,0.975337605,0.985132175,0.965008432,1.042349727
2000-01-13 00:00:00,0,-0.000864491,0.007996193,0.002843745,0.013543032,-0.253253616,-3376529.737,2416000,-0.118883653,-1172700,-9.60605E-10,1140.552549,951.9769965,149.2771926,136.8339185,143.0555556,143.1556815,146.619237,139.6921259,146.25,137.75,0.263769142,0.13023046,0.133538682,143.5457105,143.2819413,1,1,0,-0.003684527,8.416265724,46.94652127,7.520465627,-49.94464303,-52.99462233,3.049979301,142.75,142.75,149.9187095,148.9130223,24,16,8,54.48528342,45.7304058,-52.28651876,53.54352592,70.45454545,63.06818182,-29.54545455,1.178655556,1.354303189,1.345214471,-0.300816502,0.423578778,0.991452991,0.974494435,0.983136594,0.987933639,0.423578778,0.991452991,0.974494435,0.983136594,0.987933639,0.978077572,1.056466302
2000-01-14 00:00:00,0,0.014276439,0.011792796,0.018756809,0.013577931,0.441812225,4503179.56,9853300,-0.074321876,2068776.48,4.85178E-08,170842.1679,951.9769965,149.8134478,137.0803122,143.44688,143.5203267,146.7875267,140.2531267,146.9688,137.75,0.403692663,0.191501868,0.212190795,144.1943846,143.790692,1,1,0,0.024257128,9.188015938,101.0463833,7.129141182,-47.34579335,-54.46351491,7.117721559,142.5547,142.75,149.9187095,148.9130223,40,16,24,61.42312674,51.21039343,-47.37859523,55.23436843,88.35272727,70.54939394,-11.64727273,1.58986,1.357793103,1.348657693,1.052892136,0.61072106,1,0.988406745,0.994730523,1,0.61072106,1,0.988406745,0.994730523,1,0.991357841,1.070810929
2000-01-17 00:00:00,0,0,0,0,0,0,4958200,0,-0.037754611,4486895.2,4.3666E-08,100983.1465,951.9769965,150.1694279,137.3646812,143.7670545,143.6151233,146.5948233,140.6354233,146.9688,137.75,0.499142162,0.258811806,0.240330355,144.7020357,144.2028936,1,1,0,0.048680324,9.936426259,91.01372077,6.808966637,-45.54023322,-53.63336645,8.093133238,142.5547,142.75,149.9187095,148.9130223,40,16,24,61.42312674,51.21039343,-43.56013485,62.03183845,88.35272727,82.38666667,-11.64727273,1.452428182,0,0,1.052892136,0.61072106,1,1,1,1,0.61072106,1,1,1,1,0.996609452,1.070810929
